Trial,bfs,bfs (cost),dfs,dfs (cost),dijkstras,dijkstras (cost),aStar,aStar (cost),bidirectional,bidirectional (cost),greedy,greedy (cost)
0,0.00011500000255182385,118.00030777810237,0.0007966000121086836,11333.230869784727,0.004749000014271587,116.01176142221335,0.004551499965600669,116.01176142221335,0.0018358000088483095,118.36620948540128,0.00031619996298104525,128.6966830996747
1,0.001007599988952279,284.49178567435484,0.0005598000134341419,11005.805120471688,0.030114099965430796,261.83420963856975,0.02834610000718385,261.83420963856975,0.009513699973467737,265.9898727101746,0.0006280000088736415,278.5213542445929
2,0.0008734000148251653,346.4065545689336,0.00043999997433274984,11007.404056700332,0.03383579995715991,294.2822977480133,0.03210759995272383,294.2822977480133,0.008562500006519258,336.9096469162258,0.0007800000021234155,329.6266925206584
3,0.00032890000147745013,226.74484107210282,0.0005807999987155199,10816.62079876144,0.013202400004956871,201.34367949053888,0.014772699971217662,201.34367949053888,0.002763399970717728,244.27118686398688,0.06889960000989959,-1
4,0.00013529998250305653,85.11697197926723,0.00033549999352544546,3567.176339139567,0.008045499969739467,85.06450624344245,0.0011517999810166657,85.06450624344245,0.00017930002650246024,86.94724767378324,0.00034110003616660833,86.94724767378324
5,0.0007024999940767884,283.1304713860004,8.120003622025251e-05,3104.0873397598043,0.022676299966406077,255.2814065677942,0.021878300001844764,255.2814065677942,0.007846999971661717,277.25838557661973,0.0005447000148706138,268.47976299542574
6,0.000526999996509403,265.8256593002021,0.0008635999984107912,6009.740884018084,0.028150100028142333,262.22847608850736,0.010840700007975101,262.22847608850736,0.006402800034265965,265.9416259307049,0.000604800006840378,266.1343628779406
7,0.000825099996291101,385.28294839406306,0.00016920000780373812,5971.4496284859615,0.03590189997339621,361.19772754367,0.04746510001132265,361.19772754367,0.01418930001091212,387.83251880384506,0.0010195000213570893,379.8271260151926
8,4.579999949783087e-05,72.02109839857124,0.00038950005546212196,10821.597471987277,0.0024053999804891646,64.98014818812281,0.0011590999783948064,64.98014818812281,0.00017179996939375997,73.40732371260397,0.00024259998463094234,65.1123221807518
9,0.0005044999998062849,301.5177467621146,0.0005238000303506851,11774.719801551395,0.02346689999103546,292.83565231946454,0.031641899957321584,292.83565231946454,0.005871200002729893,297.326225309774,0.0006939000450074673,299.59095092072164
10,0.0004762000171467662,241.20876156877657,0.00018509995425119996,3050.866038138093,0.02461230003973469,213.99399596402958,0.013947700033895671,213.99399596402958,0.0068592000170610845,237.66098309685253,0.0007250999915413558,225.0292549469062
11,0.0008479999960400164,487.4847507204994,0.0003372999490238726,7137.419638246293,0.040336000034585595,444.4306687286765,0.07953269995050505,444.4306687286765,0.014804900041781366,499.27994478053085,0.0009610999841243029,478.6258275485214
12,0.00046449998626485467,302.4148510226414,0.000609799986705184,10525.378680388334,0.0204092999920249,286.8889403031849,0.03903709998121485,286.8889403031849,0.008674599986989051,309.1672194772032,0.0005927000311203301,305.6316588262091
13,0.0006513000116683543,334.5890856534084,6.729998858645558e-05,2617.412515562939,0.028645100013818592,320.3283294535441,0.056243699975311756,320.3283294535441,0.011069200001657009,341.9275776423494,0.0009065999765880406,357.51850621580496
14,0.0008624999900348485,346.09737926269446,3.0099996365606785e-05,1226.5887845732964,0.03503209998598322,317.6203155918537,0.047678900009486824,317.6203155918537,0.011538200022187084,337.7397164738724,0.0007037000032141805,323.0917712817665
15,0.0006186999962665141,292.96491873994535,0.0009697000496089458,8840.102130162493,0.029874700005166233,285.55077981295534,0.028404999990016222,285.55077981295534,0.011568599962629378,311.8810430711113,0.0008156000403687358,294.9251528754192
16,0.0003915000124834478,180.14778576226584,0.00038949999725446105,8606.973164132345,0.01828160003060475,150.11227999309165,0.03282540000509471,150.11227999309165,0.0018759999657049775,161.50760253421117,0.043680100003257394,-1
17,0.00041699997382238507,223.10805421743436,0.0003397000255063176,8251.353513209755,0.017653900024015456,205.15860805133048,0.01961319998372346,205.15860805133048,0.003203700005542487,220.99891075951496,0.0005849999724887311,211.9148771224493
18,3.479997394606471e-05,73.10757789189618,1.479999627918005e-05,483.9815464738001,0.002417100011371076,49.219809253099996,0.0007309000357054174,49.219809253099996,4.010001430287957e-05,55.89728785136194,0.00015199999324977398,49.219809253099996
