Algorithm,Time (ms),Cost
bfs,1.2904999966849573,136.48395115210138
dfs,0.02179999864893034,450.5578079372234
dijkstras,16.71619999979157,129.24355011029942
aStar,3.195400000549853,129.24355011029942
bidirectional,1.1592000009841286,136.48395115210138
greedy,0.4818999987037387,135.0993412848321
bfs,0.9977999980037566,301.89607143253573
dfs,0.6078000005800277,10230.982910723094
dijkstras,57.29629999768804,285.90161361524235
aStar,28.710400001727976,285.90161361524235
bidirectional,12.200000001030276,301.4989998201978
greedy,1.3041000020166393,294.380174130253
bfs,0.8333999976457562,223.08215625213785
dfs,0.3830999994534068,9347.346790294032
dijkstras,39.027000002533896,211.56883102348482
aStar,25.22589999716729,211.56883102348482
bidirectional,5.946500001300592,227.70279965631704
greedy,0.8319000007759314,239.5206122822829
bfs,1.625099997909274,405.1912525122931
dfs,0.33740000071702525,6074.787476190097
dijkstras,54.99670000062906,393.7322037273903
aStar,75.84910000150558,393.7322037273903
bidirectional,21.54309999968973,424.5113409063289
greedy,45.407799996610265,-1
bfs,0.1702999979897868,152.21962550006288
dfs,0.14540000120177865,4935.232026285572
dijkstras,14.010099999723025,151.1186720652528
aStar,9.035399998538196,151.1186720652528
bidirectional,1.6462999992654659,159.82243626612646
greedy,0.5783000015071593,160.21295534369554
bfs,1.4477000004262663,375.10714143495613
dfs,0.7832999981474131,11679.25797554448
dijkstras,43.08099999980186,355.75109727227556
aStar,40.76999999961117,355.75109727227556
bidirectional,10.821199997735675,389.56116081739935
greedy,0.9767000010469928,385.0999487035031
bfs,0.5829000001540408,247.2382579234856
dfs,0.2936999990197364,7422.414957439238
dijkstras,27.22150000045076,238.6067861259026
aStar,18.691699999180855,238.6067861259026
bidirectional,2.6677000023482833,261.437349857817
greedy,0.5645999990520068,256.8905408799378
bfs,0.13760000001639128,155.33002033758464
dfs,0.603899999987334,11971.177111217328
dijkstras,6.730299999617273,134.58688094875504
aStar,5.066199999419041,134.58688094875504
bidirectional,1.1598999990383163,173.10727532260083
greedy,0.5576000003202353,153.729166071751
bfs,1.2500999982876237,444.1417820419273
dfs,0.06260000009206124,2381.680154261838
dijkstras,40.256500000396045,412.5353383389564
aStar,114.79330000292975,412.5353383389564
bidirectional,12.180599998828257,431.16352602091507
greedy,1.7642999991949182,446.58167143868377
bfs,0.38899999708519317,131.17981046606965
dfs,0.4745999976876192,10153.247434200153
dijkstras,13.746299999183975,129.4147277428018
aStar,2.571699998952681,129.4147277428018
bidirectional,0.8497999988321681,145.16041951147892
greedy,0.2874000019801315,130.18011054481008
bfs,0.037099998735357076,54.31561986396962
dfs,0.1339999980700668,5027.8691064632185
dijkstras,2.384300001722295,54.08080298323019
aStar,0.7420000001729932,54.08080298323019
bidirectional,0.067299999500392,54.31561986396962
greedy,0.15730000086477958,54.08080298323019
bfs,0.05059999966761097,68.74636613018241
dfs,0.7779000006848946,5839.922059999363
dijkstras,3.393700000742683,60.67861722624662
aStar,1.0054000013042241,60.67861722624662
bidirectional,0.09630000204197131,61.88888851799608
greedy,0.20479999875533395,63.635797395327934
bfs,0.8518000031472184,424.6750529937355
dfs,0.5175999976927415,11332.476142560416
dijkstras,35.59110000060173,375.1104550681245
aStar,71.75319999805652,375.1104550681245
bidirectional,13.231099997938145,405.3456325545383
greedy,0.9662999982538167,397.4718880158071
bfs,0.7445999981428031,343.4917017337551
dfs,0.10329999713576399,3624.3971263682697
dijkstras,37.445300000399584,323.20004316487655
aStar,172.79590000180178,323.20004316487655
bidirectional,19.042800002353033,364.72339776346814
greedy,83.47679999860702,-1
bfs,1.2500000011641532,309.2718307086109
dfs,0.06409999696188606,2129.740967542845
dijkstras,58.22069999703672,284.90683313110276
aStar,53.70739999852958,284.90683313110276
bidirectional,10.04300000204239,305.43290966813584
greedy,1.1969000006502029,310.2381595316219
bfs,0.5923999997321516,214.13761471869867
dfs,0.4307000017433893,6362.568330435949
dijkstras,33.65320000011707,198.1548564087412
aStar,13.580099999671802,198.1548564087412
bidirectional,7.310000000870787,222.39501578434232
greedy,0.6045000009180512,211.1391274292705
bfs,1.302399999985937,410.272076242797
dfs,0.11799999992945231,3397.785487928969
dijkstras,41.035999998712214,368.6571509258925
aStar,99.80260000156704,368.6571509258925
bidirectional,25.97339999920223,414.02695071521964
greedy,1.2851999999838881,389.8324931389563
bfs,0.3547000014805235,176.3337616248218
dfs,0.25739999910001643,5203.774506055217
dijkstras,12.465899999369867,166.99082220215436
aStar,14.058400000067195,166.99082220215436
bidirectional,1.6632000006211456,181.9392048253353
greedy,0.6399000012606848,175.70020573686094
bfs,0.8654999983264133,232.03165677566693
dfs,0.23100000180420466,6621.894990628385
dijkstras,31.19449999940116,204.8955695178362
aStar,14.767499997105915,204.8955695178362
bidirectional,7.085699999151984,231.06431556324668
greedy,0.6529000020236708,226.06918896904762
bfs,0.5418000000645407,213.89657356617886
dfs,0.08910000178730115,2307.2789239887124
dijkstras,19.700299999385606,190.30993622191954
aStar,6.584300001122756,190.30993622191954
bidirectional,1.4470999994955491,210.44746403758626
greedy,0.596500001847744,210.98429841784784
bfs,0.5973000006633811,332.35402963372735
dfs,0.06570000186911784,1976.8652218808438
dijkstras,35.86079999877256,316.7255135021794
aStar,68.42620000315947,316.7255135021794
bidirectional,8.953600001404993,344.1185750070162
greedy,35.28379999988829,-1
bfs,0.7628999992448371,270.4529740289721
dfs,0.04310000076657161,575.4403009398469
dijkstras,23.184199999377597,250.56580573174998
aStar,21.007200000894954,250.56580573174998
bidirectional,7.402999999612803,261.7946689124338
greedy,0.5799999998998828,277.1166544961974
bfs,0.14999999984866008,133.42060967732962
dfs,0.13779999790131114,4501.3259959513625
dijkstras,6.991499998548534,118.03905732747099
aStar,10.677499998564599,118.03905732747099
bidirectional,0.49029999718186446,128.94256666135203
greedy,0.3978000022470951,132.4342471600766
bfs,0.4867000025114976,242.8044288183715
dfs,0.8009000011952594,11519.014745979563
dijkstras,15.873600001214072,222.84642449763243
aStar,14.301100000011502,222.84642449763243
bidirectional,4.136899999139132,263.4047299680331
greedy,0.6599000007554423,250.1033189388528
bfs,0.7120000009308569,297.6637056577889
dfs,0.14319999900180846,4530.38663346073
dijkstras,46.33810000086669,292.7830807643223
aStar,41.6038999974262,292.7830807643223
bidirectional,9.52829999732785,305.13694999273014
greedy,0.8650999989185948,335.20390158388096
bfs,1.762700001563644,305.1075217651353
dfs,0.16200000027311035,4331.091082604838
dijkstras,42.6910999995016,278.8640287581169
aStar,30.4928999976255,278.8640287581169
bidirectional,14.592299998184899,308.3998257548345
greedy,1.1011999995389488,304.8897307598748
bfs,0.04090000220458023,53.10761788201678
dfs,0.39149999793153256,8673.32709474356
dijkstras,1.8756999998004176,46.11074675395431
aStar,0.8502999990014359,46.11074675395431
bidirectional,0.06270000085351057,49.258697866983674
greedy,0.2996000002895016,49.4147159041212
bfs,1.3795999984722584,291.5679234837837
dfs,0.8071000011113938,9529.05456327785
dijkstras,42.09669999909238,278.98448271836384
aStar,55.34249999982421,278.98448271836384
bidirectional,13.072099998680642,301.8504639686925
greedy,0.7562999999208841,300.6848250291629
bfs,0.08439999874099158,88.64832435896122
dfs,0.05740000051446259,1869.046573424327
dijkstras,5.673999999999069,85.30524974323012
aStar,2.339300001040101,85.30524974323012
bidirectional,0.2645999993546866,95.7138288583005
greedy,0.40689999877940863,86.27691760974014
bfs,0.7226999987324234,274.08176911762445
dfs,0.8042999979807064,1638.7056471325643
dijkstras,47.732499999256106,266.03666219217985
aStar,26.733599999715807,266.03666219217985
bidirectional,9.959999999409774,284.65223569025676
greedy,0.7810999995854218,280.97427681328503
bfs,0.15450000137207098,90.86126393027969
dfs,0.00549999822396785,108.95284531939996
dijkstras,8.517700000084005,84.62262779095576
aStar,3.7525000007008202,84.62262779095576
bidirectional,0.46749999819439836,98.2898540685683
greedy,28.725800002575852,-1
bfs,0.9400000017194543,402.03712502361043
dfs,0.652899998385692,12162.790624438787
dijkstras,48.29469999822322,379.44924332563113
aStar,116.12919999970472,379.44924332563113
bidirectional,36.06079999735812,405.3469642023316
greedy,2.6545000000623986,420.1509383909693
bfs,1.6362999995180871,351.58884776841666
dfs,0.4697999975178391,8156.346125327852
dijkstras,88.7235000009241,321.23237614924466
aStar,125.26749999960884,321.23237614924466
bidirectional,23.36499999728403,337.4233097822025
greedy,55.37940000067465,-1
bfs,0.44179999895277433,204.58979625970716
dfs,0.5568999986280687,10727.056260433226
dijkstras,12.813800000003539,197.2128437917175
aStar,22.31939999910537,197.2128437917175
bidirectional,2.4757999999565072,204.24946751982833
greedy,0.4893000004813075,218.85703896707977
bfs,0.6431000001612119,269.8564818141489
dfs,0.4670000016631093,11822.251948661933
dijkstras,33.099599997512996,253.7842841412069
aStar,30.593199997383635,253.7842841412069
bidirectional,6.331000000500353,271.1566998435827
greedy,0.8183999998436775,284.17035060710293
bfs,0.8005999989109114,281.35983160104456
dfs,0.3681999987747986,10070.798528551853
dijkstras,37.17110000070534,265.2585150532777
aStar,44.68120000092313,265.2585150532777
bidirectional,11.155899999721441,301.68893423616566
greedy,0.6534000021929387,276.607834683671
bfs,0.7430999976349995,290.9258074823525
dfs,0.04149999949731864,1617.1410434647971
dijkstras,37.875500001973705,271.4980125994684
aStar,22.69739999974263,271.4980125994684
bidirectional,8.607499999925494,296.65246592649044
greedy,1.5936999989207834,281.20269247935266
bfs,0.10800000018207356,84.91355851663317
dfs,0.8987000001070555,8030.731297731951
dijkstras,5.320799999026349,82.05763614833604
aStar,0.9675000001152512,82.05763614833604
bidirectional,0.12459999925340526,87.09302093989334
greedy,0.15159999747993425,84.91355851663317
bfs,0.9478000029048417,514.6984537249499
dfs,0.2798999994411133,7936.620585124366
dijkstras,39.76909999983036,478.1393734043495
